"MUNICIPALITY","DISTRICT","LONGITUDE","LATITUDE","ROOMS","FLOOR_AREA","BALCONY","ELEVATOR","IS_YOUTH","IS_SENIOR","RENT","PUBLISHED","LEASE_TYPE"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"2","51",true,true,false,false,"11830","2024-12-13","Hyresrätt"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"2","54",true,true,false,false,"11957","2024-12-13","Hyresrätt"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"2","54",true,true,false,false,"11957","2024-12-13","Hyresrätt"
"Stockholm","Åkeshov",17.933298,59.334366,"4","90",true,true,false,false,"19365","2024-12-17","Hyresrätt"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Vårberg",17.883467674,59.272284198,"3","60",false,false,false,false,"14669","2024-12-13","Hyresrätt"
"Botkyrka","Tumba",17.827417,59.181732,"1","25",true,true,false,false,"7569","2024-12-14","Hyresrätt"
"Tyresö","Bollmora",18.222988,59.24655,"1","38",false,true,false,false,"8440","2024-12-17","Hyresrätt"
"Södertälje","Brunnsäng",17.627595663,59.223530869,"2","50",true,false,false,false,"10029","2024-12-13","Hyresrätt"
"Västerås","Skallberget",16.558136701,59.624339484,"3","86",true,true,false,false,"10264","2024-12-12","Hyresrätt"
"Västerås","Råby",16.497736,59.606735,"2","64",true,false,false,false,"8928","2024-12-17","Hyresrätt"
"Huddinge","Källbrink",17.96076,59.252632,"4","95",true,true,false,false,"20279","2024-12-07","Hyresrätt"
"Huddinge","Källbrink",17.96076,59.252632,"3","66",true,true,false,false,"15500","2024-12-07","Hyresrätt"
"Södertälje","Blombacka",17.600365877,59.189982455,"1","33",true,true,false,false,"7625","2024-12-10","Hyresrätt"
"Järfälla","Barkarbystaden",17.864792828,59.410469679,"1","35",true,true,false,false,"15785","2024-12-17","Hyresrätt"
"Järfälla","Veddesta",17.840208,59.401157,"3","66",true,true,false,false,"9965","2024-12-16","Hyresrätt"
"Södertälje","Blombacka",17.600365877,59.189982455,"2","62",false,true,false,false,"12521","2024-12-14","Hyresrätt"
"Sigtuna","Östra Steninge",17.798194885,59.607620487,"4","95",true,true,false,false,"12028","2024-12-14","Hyresrätt"
"Sigtuna","Östra Steninge",17.798194885,59.607620487,"4","95",true,true,false,false,"11295","2024-12-14","Hyresrätt"
"Sigtuna","Märsta Centrum",17.855379581,59.61992876,"4","100",true,true,false,false,"7475","2024-12-14","Hyresrätt"
"Huddinge","Källbrink",17.96113,59.252373,"2","54",true,true,false,false,"20279","2024-12-10","Hyresrätt"
"Huddinge","Källbrink",17.96113,59.252373,"2","50",false,true,false,false,"20208","2024-12-10","Hyresrätt"
"Sigtuna","Valsta",17.82491487,59.616226633,"2","55",true,true,false,false,"13241","2024-12-17","Hyresrätt"
"Stockholm","Sköndal",18.125807561,59.26170972,"4","109",true,true,false,false,"11110","2024-12-14","Hyresrätt"
"Sundbyberg","Ursvik",17.944487826,59.384880879,"1","25",false,true,false,false,"9520","2024-12-14","Hyresrätt"
"Värmdö","Stavsnäs",18.690334846,59.284541933,,"69",true,true,false,false,"7654","2024-12-12","Korttidskontrakt"
